Attack 9 10	
, O , O
U.S. O NNP O
and O CC O
coalition B-Nation NN O
troops B-Group NNS B-Attacker
could O MD O
face O VB O
urban O JJ O
combat O NN B-Attack-T
with O IN O
the O DT O
Republican B-Government NNP B-Attacker
Guard I-Government NNP I-Attacker
, O , O
some B-Group DT O
of O IN O
whom B-Government WP O
may O MD O
have O VB O
withdrawn O VBN O
into O IN O
the O DT O
city B-Population-Center NN O

Meet 12 13	Entity 8 9	Entity 15 16	
Word O NN O
comes O VBZ O
from O IN O
the O DT O
grand O JJ O
Ayatollah B-Individual NNP O
Sistani B-Individual NNP O
that O IN O
he B-Individual PRP B-Entity
's O VBZ O
willing O JJ O
to O TO O
meet O VB B-Meet-T
the O DT O
American B-Nation JJ O
commander B-Individual NN B-Entity
, O , O
but O CC O
he B-Individual PRP O
asks O VBZ O
first O RB O
for O IN O
soldiers B-Group NNS O
to O TO O
secure O VB O
his B-Individual PRP$ O
compound B-Building-Grounds NN O
, O , O
located O JJ O
halfway O RB O
down O IN O
the O DT O
road B-Path NN O
to O TO O
the O DT O
mosque B-Building-Grounds NN O

Transport 10 11	Artifact 7 8	Destination 12 13	
Chaos O NN O
as O IN O
the O DT O
crowd B-Group NN O
apparently O RB O
believes O VBZ O
the O DT O
soldiers B-Group NNS B-Artifact
want O VBP O
to O TO O
approach O VB B-Transport-T
the O DT O
shrine B-Building-Grounds NN B-Destination

Transport 3 5	Artifact 0 1	Destination 7 8	
They B-Group PRP B-Artifact
want O VBP O
to O TO O
get O VB B-Transport-T
inside O IN I-Transport-T
the O DT O
holy O JJ O
shrine B-Building-Grounds NN B-Destination
of O IN O
Imam B-Individual NNP O
Ali I-Individual NNP O

Attack 12 13	
Most B-Group JJS O
of O IN O
the O DT O
27 O CD O
British B-Nation JJ O
troops O NNS O
killed O VBN O
have O VBP O
been O VBN O
victims B-Group NNS O
of O IN O
friendly O JJ O
fire O NN B-Attack-T
or O CC O
accidents O NNS O

Attack 5 6	
Eleven B-Group CD O
of O IN O
them B-Group PRP O
by O IN O
friendly O JJ O
fire O NN B-Attack-T
or O CC O
in O IN O
other O JJ O
accidents O NNS O

Die 6 7	Victim 0 1	
Most B-Group JJS B-Victim
of O IN O
the O DT O
27 O CD O
British B-Nation JJ O
troops O NNS O
killed O VBN B-Die-T
have O VBP O
been O VBN O
victims B-Group NNS O
of O IN O
friendly O JJ O
fire O NN O
or O CC O
accidents O NNS O

Transport 4 5	Artifact 3 4	Destination 7 8	
He B-Individual PRP O
orders O VBZ O
his B-Individual PRP$ O
men B-Group NNS B-Artifact
back O RB B-Transport-T
to O TO O
their B-Group PRP$ O
compound B-Building-Grounds NN B-Destination
to O TO O
await O VB O
cooler O JJR O
heads O NNS O

Attack 18 20	Attacker 14 15	Target 21 22	
Well O RB O
, O , O
U.S. O NNP O
officials B-Group NNS O
are O VBP O
investigating O VBG O
two O CD O
possible O JJ O
friendly O JJ O
fire O NN O
incidents O NNS O
in O IN O
which O WDT O
coalition B-Nation NN O
forces B-Group NNS B-Attacker
may O MD O
have O VB O
mistakenly O RB O
shot O VBN B-Attack-T
at O IN I-Attack-T
allied B-Nation VBN O
aircraft B-Air NN B-Target

Attack 4 5	
In O IN O
one O CD O
of O IN O
the O DT O
incidents O NNS B-Attack-T
, O , O
a O DT O
soldier B-Individual NN O
was O VBD O
killed O VBN O
and O CC O
several O JJ O
others B-Group NNS O
wounded O VBD O

Transport 3 5	Artifact 2 3	Destination 7 8	
Armed O VBN O
coalition B-Nation NN O
soldiers B-Group NNS B-Artifact
moving O VBG B-Transport-T
toward O IN I-Transport-T
a O DT O
venerated O JJ O
mosque B-Building-Grounds NN B-Destination
at O IN O
the O DT O
request O NN O
of O IN O
a O DT O
Muslim O JJ O
cleric B-Individual NN O
, O , O
but O CC O
angry O JJ O
locals B-Group NNS O
who B-Group WP O
did O VBD O
n't O RB O
understand O VB O
what O WP O
they B-Group PRP O
were O VBD O
trying O VBG O
to O TO O
do O VB O

Injure 13 14	Victim 12 13	
In O IN O
one O CD O
of O IN O
the O DT O
incidents O NNS O
, O , O
a O DT O
soldier B-Individual NN O
was O VBD O
killed O VBN O
and O CC O
several O JJ O
others B-Group NNS B-Victim
wounded O VBD B-Injure-T

Die 10 11	Victim 7 8	
Before O IN O
word O NN O
of O IN O
that O DT O
death O NN O
, O , O
40 O CD O
Americans B-Group NNPS B-Victim
had O VBD O
been O VBN O
killed O VBN B-Die-T
by O IN O
hostile O JJ O
fire O NN O
in O IN O
Operation O NNP O
Iraqi O JJ O
Freedom O NN O

Attack 13 14	
Before O IN O
word O NN O
of O IN O
that O DT O
death O NN O
, O , O
40 O CD O
Americans B-Group NNPS O
had O VBD O
been O VBN O
killed O VBN O
by O IN O
hostile O JJ O
fire O NN B-Attack-T
in O IN O
Operation O NNP O
Iraqi O JJ O
Freedom O NN O

Die 4 5	
Before O IN O
word O NN O
of O IN O
that O DT O
death O NN B-Die-T
, O , O
40 O CD O
Americans B-Group NNPS O
had O VBD O
been O VBN O
killed O VBN O
by O IN O
hostile O JJ O
fire O NN O
in O IN O
Operation O NNP O
Iraqi O JJ O
Freedom O NN O

Die 9 10	Victim 7 8	
In O IN O
one O CD O
of O IN O
the O DT O
incidents O NNS O
, O , O
a O DT O
soldier B-Individual NN B-Victim
was O VBD O
killed O VBN B-Die-T
and O CC O
several O JJ O
others B-Group NNS O
wounded O VBD O

Injure 4 5	Victim 3 4	
And O CC O
they B-Nation PRP O
say O VBP O
4,000 B-Group CD B-Victim
injured O JJ B-Injure-T

Die 9 10	Victim 0 1	
Eleven B-Group CD B-Victim
of O IN O
them B-Group PRP O
by O IN O
friendly O JJ O
fire O NN O
or O CC O
in O IN O
other O JJ O
accidents O NNS B-Die-T

Meet 9 10	Entity 7 8	Entity 11 12	
Anybody B-Indeterminate NN O
could O MD O
be O VB O
an O DT O
informer B-Indeterminate NN O
and O CC O
punish O VB O
us B-Group PRP B-Entity
for O IN O
talking O VBG B-Meet-T
to O TO O
you B-Individual PRP B-Entity
, O , O
even O RB O
my B-Individual PRP$ O
family B-Group NN O
, O , O
he B-Individual PRP O
tells O VBZ O
me B-Individual PRP O
in O IN O
Arabic O JJ O

Transport 27 29	Artifact 22 23	Destination 30 31	
Well O RB O
, O , O
when O WRB O
they B-Group PRP O
do O VBP O
finally O RB O
enter O VB O
Baghdad B-Population-Center NNP O
, O , O
U.S. O NNP O
and O CC O
coalition B-Nation NN O
troops B-Group NNS O
could O MD O
face O VB O
urban O JJ O
combat O NN O
with O IN O
the O DT O
Republican B-Government NNP O
Guard I-Government NNP O
, O , O
some B-Group DT B-Artifact
of O IN O
whom B-Government WP O
may O MD O
have O VB O
withdrawn O VBN B-Transport-T
into O IN I-Transport-T
the O DT O
city B-Population-Center NN B-Destination

Attack 7 8	Place 9 10	
Seven O CD O
Americans B-Group NNPS O
we B-Media PRP O
know O VBP O
remain O VBP O
prisoners B-Group NNS O
of O IN O
war O NN B-Attack-T
in O IN O
Iraq B-Nation NNP B-Place

Transport 6 7	Artifact 3 4	Destination 7 8	
Well O RB O
, O , O
when O WRB O
they B-Group PRP B-Artifact
do O VBP O
finally O RB O
enter O VB B-Transport-T
Baghdad B-Population-Center NNP B-Destination
, O , O
U.S. O NNP O
and O CC O
coalition B-Nation NN O
troops B-Group NNS O
could O MD O
face O VB O
urban O JJ O
combat O NN O
with O IN O
the O DT O
Republican B-Government NNP O
Guard I-Government NNP O
, O , O
some B-Group DT O
of O IN O
whom B-Government WP O
may O MD O
have O VB O
withdrawn O VBN O
into O IN O
the O DT O
city B-Population-Center NN O

Die 13 14	Victim 6 7	
Meantime O RB O
, O , O
Iraq B-Nation NNP O
says O VBZ O
that O IN O
420 O CD O
civilians B-Group NNS B-Victim
, O , O
they B-Nation PRP O
say O VBP O
, O , O
have O VBP O
been O VBN O
killed O VBN B-Die-T
during O IN O
the O DT O
war O NN O

Attack 45 46	Attacker 21 22	
They B-Government PRP O
're O VBP O
not O RB O
coming O VBG O
forward O RB O
and O CC O
telling O VBG O
us B-Nation PRP O
what O WP O
the O DT O
risks O NNS O
are O VBP O
, O , O
what O WP O
the O DT O
costs O NNS O
are O VBP O
, O , O
how O WRB O
many O JJ O
years O NNS O
we B-Nation PRP B-Attacker
might O MD O
be O VB O
in O IN O
, O , O
the O DT O
possibility O NN O
of O IN O
us B-Nation PRP O
getting O VBG O
bogged O VBN O
down O RB O
, O , O
because O IN O
what O WP O
Americans B-Group NNS O
know O VBP O
that O IN O
, O , O
they B-Group PRP O
're O VBP O
opposed O VBN O
to O TO O
this O DT O
war O NN B-Attack-T

Transport 6 7	Artifact 1 2	
Let O VB O
me B-Individual PRP B-Artifact
tell O VB O
you B-Individual PRP O
, O , O
what O WDT O
trips O NNS B-Transport-T
to O TO O
Walter B-Building-Grounds NNP O
Reed I-Building-Grounds NNP O
taught O VBD O
me B-Individual PRP O
was O VBD O
, O , O
that O IN O
whoever B-Individual WP O
thought O VBD O
up O RP O
the O DT O
term O NN O
, O , O
the O DT O
law O NN O
of O IN O
unintended O JJ O
consequences O NNS O
it O PRP O
pertains O VBZ O
to O TO O
war O NN O

End-Position 32 33	Person 25 26	Entity 28 29	
Our B-Nation PRP$ O
president B-Individual NN O
has O VBZ O
repeatedly O RB O
, O , O
for O IN O
example O NN O
, O , O
relied O VBN O
on O IN O
a O DT O
man O NN O
whom B-Individual WP O
you B-Individual PRP O
're O VBP O
aware O JJ O
, O , O
Hussein B-Individual NNP O
Kamel I-Individual NNP O
, O , O
Saddam B-Individual NNP O
Hussein I-Individual NNP O
's O POS O
son-in-law B-Individual NN O
, O , O
leader B-Individual NN B-Person
of O IN O
the O DT O
Iraq B-Nation NNP B-Entity
arms O NNS O
program B-Government NN O
who B-Individual WP O
defected O VBD B-End-Position-T
for O IN O
a B-Time DT O
time I-Time NN O

Die 8 9	Victim 6 7	Victim 10 11	Time-Within 12 16	Victim 17 19	Time-Within 22 25	
Clinton B-Individual NNP O
suffered O VBD O
greatly O RB O
over O IN O
the O DT O
19 O CD O
Rangers B-Group NNPS B-Victim
that B-Group WDT O
died O VBD B-Die-T
, O , O
18 B-Group CD B-Victim
on O IN O
the B-Time DT B-Time-Within
3rd I-Time NN I-Time-Within
of I-Time IN I-Time-Within
October I-Time NNP I-Time-Within
and O CC O
Matt B-Individual NNP B-Victim
Reersen I-Individual NNP I-Victim
( O NN O
ph O NN O
) O CD O
three B-Time CD B-Time-Within
days I-Time NNS I-Time-Within
later I-Time RB I-Time-Within

Attack 2 3	Attacker 0 1	Place 7 8	
He B-Individual PRP B-Attacker
will O MD O
blow O VB B-Attack-T
a O DT O
city B-Population-Center NN O
off O IN O
the O DT O
earth B-Celestial NN B-Place
in O IN O
a O DT O
minute O NN O
if O IN O
he B-Individual PRP O
can O MD O
get O VB O
the O DT O
hold O NN O
of O IN O
the O DT O
means O NNS O
to O TO O
do O VB O
it O PRP O

Meet 1 2	Entity 0 1	Entity 4 5	
I B-Individual PRP B-Entity
visited O VBD B-Meet-T
all O PDT O
their B-Group PRP$ O
families B-Group NNS B-Entity

Attack 29 30	
Favor O NN O
59 B-Percent CD O
% I-Percent NN O
, O , O
opposed O VBD O
37 B-Percent CD O
% I-Percent NN O
, O , O
that O DT O
's O VBZ O
a O DT O
vastly O RB O
larger O JJR O
support O NN O
than O IN O
President B-Individual NNP O
Bush B-Individual NNP O
Senior B-Individual NNP O
had O VBD O
in O IN O
getting O VBG O
the O DT O
U.S. O NNP O
troops B-Group NNS O
out O IN O
of O IN O
Kuwait B-Nation NNP O
before O IN O
that O DT O
war O NN B-Attack-T
started O VBD O

Transport 20 21	Agent 16 17	Artifact 23 24	Origin 26 27	
Favor O NN O
59 B-Percent CD O
% I-Percent NN O
, O , O
opposed O VBD O
37 B-Percent CD O
% I-Percent NN O
, O , O
that O DT O
's O VBZ O
a O DT O
vastly O RB O
larger O JJR O
support O NN O
than O IN O
President B-Individual NNP O
Bush B-Individual NNP B-Agent
Senior B-Individual NNP O
had O VBD O
in O IN O
getting O VBG B-Transport-T
the O DT O
U.S. O NNP O
troops B-Group NNS B-Artifact
out O IN O
of O IN O
Kuwait B-Nation NNP B-Origin
before O IN O
that O DT O
war O NN O
started O VBD O

Attack 8 9	
Ask O VB O
them B-Group PRP O
about O IN O
going O VBG O
and O CC O
not O RB O
just O RB O
a O DT O
war O NN B-Attack-T
, O , O
Bob B-Individual NNP O
, O , O
but O CC O
an O DT O
invasion O NN O
and O CC O
occupying O VBG O
for O IN O
up B-Time RB O
to I-Time TO O
10 I-Time CD O
years I-Time NNS O
a O DT O
sovereign O JJ O
Arab B-Group NNP O
nation B-Nation NN O
in O IN O
the O DT O
midst O NN O
of O IN O
one B-Region-International CD O
of O IN O
the O DT O
most O RBS O
distable O JJ O
and O CC O
volatile O JJ O
regions B-Region-International NNS O
in O IN O
the O DT O
world B-Celestial NN O

Die 16 17	Agent 15 16	Victim 17 18	
The O DT O
fact O NN O
that O IN O
this O DT O
guy B-Individual NN O
was O VBD O
such O JJ O
an O DT O
idiot B-Individual VBP O
to O TO O
go O VB O
back O RB O
and O CC O
let O VB O
his B-Individual PRP$ O
father-in-law B-Individual NN B-Agent
kill O VB B-Die-T
him B-Individual PRP B-Victim
shows O VBZ O
he B-Individual PRP O
was O VBD O
n't O RB O
the O DT O
most O RBS O
stable O JJ O
of O IN O
people B-Group NNS O

Transport 5 6	Artifact 9 10	Destination 14 15	
Orders O NNS O
went O VBD O
out O RP O
today B-Time NN O
to O TO O
deploy O VB B-Transport-T
17,000 O CD O
U.S. O NNP O
Army B-Government NNP O
soldiers B-Group NNS B-Artifact
in O IN O
the O DT O
Persian B-Water-Body NNP O
Gulf I-Water-Body NNP O
region B-Region-International NN B-Destination

Die 15 16	Place 11 12	Agent 14 15	Victim 16 17	
And O CC O
gave O VBD O
us B-Nation PRP O
a O DT O
whole O JJ O
lot O NN O
of O IN O
information O NN O
and O CC O
then O RB O
went O VBD O
home B-Nation NN B-Place
and O CC O
his B-Individual PRP$ O
father-in-law B-Individual NN B-Agent
killed O VBD B-Die-T
him B-Individual PRP B-Victim

Attack 6 7	
The O DT O
more O JJR O
they B-Group PRP O
learn O VBP O
about O IN O
this O DT O
invasion O NN B-Attack-T
, O , O
the O DT O
more O JJR O
they B-Group PRP O
learn O VBP O
about O IN O
this O DT O
occupation O NN O
, O , O
the O DT O
less O JJR O
they B-Group PRP O
support O VBP O
it O PRP O

Transport 28 29	Artifact 26 27	Destination 30 31	
And O CC O
so O RB O
I B-Individual PRP O
would O MD O
like O VB O
you B-Individual PRP O
to O TO O
take O VB O
a O DT O
look O NN O
at O IN O
the O DT O
CNN/ O NNP O
'' O '' O
USA B-Media NNP O
TODAY I-Media NNP O
'' O '' O
/Gallup O NNP O
poll O NN O
, O , O
taken O VBN O
last B-Time JJ O
week I-Time NN O
, O , O
should O MD O
U.S. O NNP O
troops B-Group NNS B-Artifact
to O TO O
go O VB B-Transport-T
to O TO O
Iraq B-Nation NNP B-Destination
to O TO O
remove O VB O
Saddam B-Individual NNP O
Hussein I-Individual NNP O
from O IN O
power O NN O

Attack 15 16	
Bob B-Individual NNP O
, O , O
one O CD O
of O IN O
the O DT O
reasons O NNS O
I B-Individual PRP O
think O VBP O
so O RB O
many O JJ O
Americans B-Group NNPS O
are O VBP O
worried O VBN O
about O IN O
this O DT O
war O NN B-Attack-T
and O CC O
so O RB O
many O JJ O
people B-Group NNS O
around O IN O
the O DT O
world B-Celestial NN O
do O VBP O
n't O RB O
want O VB O
to O TO O
go O VB O
is O VBZ O
there O EX O
have O VBP O
been O VBN O
a O DT O
lot O NN O
of O IN O
problems O NNS O
with O IN O
credibility O NN O
from O IN O
this O DT O
administration B-Government NN O

Attack 8 9	
That O DT O
's O VBZ O
going O VBG O
to O TO O
have O VB O
to O TO O
be O VB O
last O JJ O
war O NN B-Attack-T
, O , O
unfair O JJ O
and O CC O
unfortunate O JJ O
as O IN O
that O DT O
is O VBZ O

Transport 10 11	Artifact 4 5	
The O DT O
fact O NN O
that O IN O
this O DT O
guy B-Individual NN B-Artifact
was O VBD O
such O JJ O
an O DT O
idiot B-Individual VBP O
to O TO O
go O VB B-Transport-T
back O RB O
and O CC O
let O VB O
his B-Individual PRP$ O
father-in-law B-Individual NN O
kill O VB O
him B-Individual PRP O
shows O VBZ O
he B-Individual PRP O
was O VBD O
n't O RB O
the O DT O
most O RBS O
stable O JJ O
of O IN O
people B-Group NNS O

Attack 8 9	
We B-Group PRP O
're O VBP O
talking O VBG O
about O IN O
possibilities O NNS O
of O IN O
full O JJ O
scale O NN O
war O NN B-Attack-T
with O IN O
former B-Time JJ O
Congressman B-Job-Title NNP O
Tom B-Individual NNP O
Andrews I-Individual NNP O
, O , O
Democrat B-Individual NNP O
of O IN O
Maine B-State-or-Province NNP O

Transport 10 11	Destination 11 12	Artifact 16 17	
And O CC O
gave O VBD O
us B-Nation PRP O
a O DT O
whole O JJ O
lot O NN O
of O IN O
information O NN O
and O CC O
then O RB O
went O VBD B-Transport-T
home B-Nation NN B-Destination
and O CC O
his B-Individual PRP$ O
father-in-law B-Individual NN O
killed O VBD O
him B-Individual PRP B-Artifact

Attack 20 21	Attacker 17 18	
Tom B-Individual NNP O
Andrews I-Individual NNP O
, O , O
I B-Individual PRP O
think O VBP O
we B-Nation PRP O
all O DT O
realize O VBP O
that O IN O
a O DT O
government B-Nation NN O
does O VBZ O
n't O RB O
go O VB O
to O TO O
war O NN O
a O DT O
nation B-Nation NN B-Attacker
goes O VBZ O
to O TO O
war O NN B-Attack-T

Attack 4 5	
Any O DT O
rational O JJ O
person B-Individual NN O
hates O VBZ O
war O NN B-Attack-T

Attack 29 30	
Let O VB O
me B-Individual PRP O
tell O VB O
you B-Individual PRP O
, O , O
what O WDT O
trips O NNS O
to O TO O
Walter B-Building-Grounds NNP O
Reed I-Building-Grounds NNP O
taught O VBD O
me B-Individual PRP O
was O VBD O
, O , O
that O IN O
whoever B-Individual WP O
thought O VBD O
up O RP O
the O DT O
term O NN O
, O , O
the O DT O
law O NN O
of O IN O
unintended O JJ O
consequences O NNS O
it O PRP O
pertains O VBZ O
to O TO O
war O NN B-Attack-T

Attack 15 16	
Paul B-Individual NNP O
, O , O
look O NN O
, O , O
the O DT O
problem O NN O
is O VBZ O
I B-Individual PRP O
would O MD O
stipulate O VB O
all O DT O
four O CD O
of O IN O
us B-Group PRP O
hates O VBZ O
war O NN B-Attack-T

Attack 14 15	
Ask O VB O
them B-Group PRP O
about O IN O
going O VBG O
and O CC O
not O RB O
just O RB O
a O DT O
war O NN O
, O , O
Bob B-Individual NNP O
, O , O
but O CC O
an O DT O
invasion O NN B-Attack-T
and O CC O
occupying O VBG O
for O IN O
up B-Time RB O
to I-Time TO O
10 I-Time CD O
years I-Time NNS O
a O DT O
sovereign O JJ O
Arab B-Group NNP O
nation B-Nation NN O
in O IN O
the O DT O
midst O NN O
of O IN O
one B-Region-International CD O
of O IN O
the O DT O
most O RBS O
distable O JJ O
and O CC O
volatile O JJ O
regions B-Region-International NNS O
in O IN O
the O DT O
world B-Celestial NN O

Attack 15 16	
Tom B-Individual NNP O
Andrews I-Individual NNP O
, O , O
I B-Individual PRP O
think O VBP O
we B-Nation PRP O
all O DT O
realize O VBP O
that O IN O
a O DT O
government B-Nation NN O
does O VBZ O
n't O RB O
go O VB O
to O TO O
war O NN B-Attack-T
a O DT O
nation B-Nation NN O
goes O VBZ O
to O TO O
war O NN O

Transport 12 13	Artifact 4 5	Destination 19 20	
It B-Group PRP O
was O VBD O
the O DT O
first O JJ O
unit B-Group NN B-Artifact
to O TO O
cross O VB O
the O DT O
Euphrates B-Water-Body NNP O
River I-Water-Body NNP O
and O CC O
then O RB O
punch O VB B-Transport-T
northward O RB O
to O TO O
within O IN O
60 O CD O
miles O NNS O
of O IN O
Baghdad B-Population-Center NNP B-Destination

Attack 26 27	
The O DT O
Army B-Government NNP O
is O VBZ O
eating O VBG O
much O RB O
, O , O
much O RB O
better O JJR O
than O IN O
the O DT O
grandfathers B-Group NNS O
of O IN O
these O DT O
soldiers B-Group NNS O
did O VBD O
and O CC O
the O DT O
great O JJ O
grandfathers B-Group NNS O
of O IN O
these O DT O
soldiers B-Group NNS O
in O IN O
the O DT O
Second O JJ O
World O NNP O
War O NNP B-Attack-T

Transport 6 7	Artifact 4 5	Destination 8 10	
It B-Group PRP O
was O VBD O
the O DT O
first O JJ O
unit B-Group NN B-Artifact
to O TO O
cross O VB B-Transport-T
the O DT O
Euphrates B-Water-Body NNP B-Destination
River I-Water-Body NNP I-Destination
and O CC O
then O RB O
punch O VB O
northward O RB O
to O TO O
within O IN O
60 O CD O
miles O NNS O
of O IN O
Baghdad B-Population-Center NNP O

Attack 32 33	
Of O IN O
course O NN O
, O , O
you B-Indeterminate PRP O
're O VBP O
on O IN O
an O DT O
adrenaline O NN O
high O JJ O
, O , O
but O CC O
racing O VBG O
across O IN O
the O DT O
desert B-Land-Region-Natural NN O
, O , O
you B-Indeterminate PRP O
know O VBP O
that O IN O
you B-Indeterminate PRP O
're O VBP O
traveling O VBG O
toward O IN O
the O DT O
jaws O NNS O
of O IN O
what O WP O
could O MD O
be O VB O
a O DT O
major O JJ O
military O JJ O
battle O NN B-Attack-T

Transport 9 10	Artifact 0 1	Destination 12 13	
We B-Group PRP B-Artifact
've O VBP O
had O VBD O
an O DT O
absolutely O RB O
terrific O JJ O
story O NN O
, O , O
pushing O VBG O
forward O RP B-Transport-T
north O RB O
toward O IN O
Baghdad B-Population-Center NNP B-Destination

Attack 4 5	Target 0 1	
We B-Group PRP B-Target
have O VBP O
under O IN O
heavy O JJ O
fire O NN B-Attack-T
for O IN O
the O DT O
past O JJ O
couple O NN O
of O IN O
miles O NNS O

Attack 11 12	Time-Within 8 9	Place 13 14	
Just O RB O
ahead O RB O
we B-Media PRP O
'll O MD O
have O VB O
the O DT O
latest O JJS O
on O IN O
today B-Time NN B-Time-Within
's O POS O
suicide O NN O
bombing O NN B-Attack-T
in O IN O
Israel B-Nation NNP B-Place

Attack 13 14	
The O DT O
U.S. B-Government NNP O
Army I-Government NNP O
's O POS O
7th B-Government JJ O
Cavalry I-Government NNP O
has O VBZ O
just O RB O
taken O VBN O
three O CD O
Iraqi B-Nation JJ O
prisoners B-Group NNS O
of O IN O
war O NN B-Attack-T

Attack 15 17	
Recall O VB O
Winston B-Individual NNP O
Churchill I-Individual NNP O
's O POS O
old O JJ O
quote O NN O
, O , O
`` O `` O
There O EX O
's O VBZ O
nothing O NN O
so O RB O
exhilarating O JJ O
as O IN O
being O VBG O
shot O VBN B-Attack-T
at O IN I-Attack-T
and O CC O
missed O VBN O

Die 10 11	Time-Within 8 9	Place 13 14	
Just O RB O
ahead O RB O
we B-Media PRP O
'll O MD O
have O VB O
the O DT O
latest O JJS O
on O IN O
today B-Time NN B-Time-Within
's O POS O
suicide O NN B-Die-T
bombing O NN O
in O IN O
Israel B-Nation NNP B-Place

Attack 3 4	Instrument 2 3	
Mostly O RB O
small O JJ O
arms B-Shooting NNS B-Instrument
fire O NN B-Attack-T
, O , O
but O CC O
the O DT O
sand O NN O
storm O NN O
has O VBZ O
enabled O VBN O
the O DT O
Iraqis B-Group NNPS O
to O TO O
come O VB O
very O RB O
close O RB O
to O TO O
the O DT O
road B-Path NN O
, O , O
and O CC O
if O IN O
I B-Individual PRP O
sound O VBP O
a O DT O
little O JJ O
nervous O JJ O
, O , O
it O PRP O
's O VBZ O
because O IN O
we B-Group PRP O
're O VBP O
in O IN O
the O DT O
soft O JJ O
skin O NN O
vehicle B-Land NN O
and O CC O
everybody B-Group NN O
else O RB O
is O VBZ O
in O IN O
armor B-Land NN O

Attack 7 8	Time-Holds 0 2	Target 10 11	Place 16 17	
Seventy-two B-Time CD B-Time-Holds
hours I-Time NNS I-Time-Holds
of O IN O
that O DT O
was O VBD O
under O IN O
constant O JJ O
fire O NN B-Attack-T
coming O VBG O
at O IN O
us B-Group PRP B-Target
from O IN O
both O DT O
sides O NNS O
of O IN O
the O DT O
road B-Path NN B-Place

Transport 14 15	Artifact 12 13	Destination 19 20	
Mostly O RB O
small O JJ O
arms B-Shooting NNS O
fire O NN O
, O , O
but O CC O
the O DT O
sand O NN O
storm O NN O
has O VBZ O
enabled O VBN O
the O DT O
Iraqis B-Group NNPS B-Artifact
to O TO O
come O VB B-Transport-T
very O RB O
close O RB O
to O TO O
the O DT O
road B-Path NN B-Destination
, O , O
and O CC O
if O IN O
I B-Individual PRP O
sound O VBP O
a O DT O
little O JJ O
nervous O JJ O
, O , O
it O PRP O
's O VBZ O
because O IN O
we B-Group PRP O
're O VBP O
in O IN O
the O DT O
soft O JJ O
skin O NN O
vehicle B-Land NN O
and O CC O
everybody B-Group NN O
else O RB O
is O VBZ O
in O IN O
armor B-Land NN O

Attack 24 25	Attacker 23 24	Instrument 26 27	
Clearly O RB O
, O , O
as O IN O
we B-Group PRP O
threaten O VBP O
the O DT O
core O NN O
of O IN O
the O DT O
regime B-Government NN O
, O , O
which O WDT O
Baghdad B-Population-Center NNP O
and O CC O
Tikrit B-Population-Center NNP O
represent O VBP O
, O , O
we B-Group PRP O
believe O VBP O
that O IN O
the O DT O
likelihood O NN O
of O IN O
them B-Group PRP B-Attacker
using O VBG B-Attack-T
those O DT O
weapons B-Underspecified NNS B-Instrument
goes O VBZ O
up O RP O

Attack 5 6	
Seven O CD O
Americans B-Group NNPS O
remain O VBP O
prisoners B-Group NNS O
of O IN O
war O NN B-Attack-T
in O IN O
Iraq B-Nation NNP O
and O CC O
15 O CD O
Americans B-Group NNS O
are O VBP O
listed O VBN O
as O IN O
missing O VBG O
in O IN O
action O NN O

Attack 5 6	Attacker 2 3	Instrument 9 10	
Additionally O RB O
, O , O
their B-Group PRP$ B-Attacker
ability O NN O
to O TO O
use O VB B-Attack-T
chemical B-Chemical NN O
and O CC O
biological B-Biological JJ O
weapons B-Underspecified NNS B-Instrument
, O , O
they B-Group PRP O
've O VBP O
proven O VBN O
it O PRP O
historically O RB O

Attack 13 14	Attacker 3 5	Place 8 9	Attacker 16 19	
The O DT O
Army B-Government NNP O
's O POS O
3rd B-Group JJ B-Attacker
Infantry I-Group NNP I-Attacker
has O VBZ O
punched O VBN O
through O IN O
Karbala B-Population-Center NNP B-Place
, O , O
meeting O VBG O
only O RB O
light O JJ O
resistance O NN B-Attack-T
from O IN O
the O DT O
Medina B-Group NNP B-Attacker
Republican I-Group NNP I-Attacker
Guard I-Group NNP I-Attacker
, O , O
and O CC O
moving O VBG O
along O IN O
highway B-Path NN O
nine I-Path CD O
within O IN O
25 O CD O
miles O NNS O
of O IN O
Baghdad B-Population-Center NNP O

Die 7 8	Victim 4 5	Victim 12 13	
Military B-Government JJ O
officials B-Group NNS O
say O VBP O
39 O CD O
Americans B-Group NNPS B-Victim
have O VBP O
been O VBN O
killed O VBN B-Die-T
in O IN O
combat O NN O
, O , O
9 O CD O
more B-Group JJR B-Victim
by O IN O
friendly O JJ O
fire O NN O
or O CC O
an O DT O
accident O NN O

Transport 55 56	Artifact 50 51	Destination 57 58	
Judy B-Individual NNP O
, O , O
in B-Time IN O
the I-Time DT O
next I-Time JJ O
hour I-Time NN O
, O , O
on O IN O
our B-Media PRP$ O
special O JJ O
`` O `` O
WOLF O NNP O
BLITZER O NNP O
REPORTS O NNS O
, O , O
'' O '' O
I B-Individual PRP O
'm O VBP O
going O VBG O
to O TO O
be O VB O
speaking O VBG O
live O JJ O
to O TO O
her B-Individual PRP$ O
older O JJR O
brother B-Individual NN O
who B-Individual WP O
is O VBZ O
in O IN O
the O DT O
Army B-Government NNP O
